income_annum,cibil_score,loan_amount,loan_term,loan_status
1008690,560,355763,36,0
568799,734,435423,12,0
723570,604,407430,84,0
851820,392,346195,24,0
792734,691,164914,24,0
780047,384,140517,60,0
551492,762,186511,12,1
451456,898,406932,12,0
1076997,392,362282,12,0
412816,485,216597,36,0
403355,702,366205,24,0
542804,762,169654,24,1
522866,825,203812,12,1
870715,426,295439,60,0
839542,418,317491,12,0
410078,612,348522,60,0
1002335,395,228936,84,0
413632,587,453172,24,0
635674,458,214827,12,0
656902,310,204544,12,0
1067595,444,177834,12,0
847337,609,80111,84,0
1082355,528,452290,36,0
1044840,460,170575,24,0
313807,507,291130,120,0
1070746,645,279104,120,0
990607,601,269861,12,0
599770,592,361877,84,0
786232,823,331652,12,0
498286,304,466885,24,0
849639,648,469405,24,0
514283,710,67727,60,1
966490,509,135457,12,0
1133727,330,465384,24,0
605062,794,150483,84,1
484078,788,339749,120,0
304014,486,301537,12,0
1050216,495,484837,60,0
520184,419,229980,36,0
573538,325,426188,84,0
303051,700,381396,120,0
456542,637,466978,60,0
717009,719,276876,12,1
575987,616,318787,84,0
569536,655,346037,120,0
754137,491,108005,60,0
678480,648,246133,12,0
975510,824,411133,36,0
1197421,849,315798,120,0
664778,398,58706,12,0
908364,328,227558,24,0
586103,613,218933,60,0
1137291,350,423479,120,0
454697,374,79725,36,0
655540,465,479276,84,0
948143,420,55704,84,0
674705,860,280008,60,1
1005696,775,197992,12,1
615557,477,285718,120,0
879879,724,313321,60,0
989944,591,57967,84,0
1019094,706,328600,12,0
1061315,569,114028,24,0
668501,383,421602,24,0
714568,659,174447,84,0
551995,573,53726,60,0
1044086,655,445677,60,0
458823,447,273894,84,0
812153,688,476376,36,0
501152,569,117155,36,0
912380,461,294839,24,0
665890,448,275371,36,0
557426,432,81007,84,0
1040976,849,475333,24,0
784963,361,230302,84,0
1113168,601,367898,36,0
1110208,799,377825,120,0
320056,550,476577,36,0
1049074,754,244509,60,1
336187,575,182503,12,0
553490,674,461961,84,0
910704,381,271427,24,0
588998,734,319295,12,0
477804,320,400343,120,0
647449,704,391278,12,0
354886,845,160677,36,1
871621,799,113133,60,1
382989,374,55901,120,0
318070,609,367243,36,0
612252,799,303334,84,0
1196942,327,412638,12,0
570936,377,295014,12,0
800328,561,468443,36,0
421172,643,363543,60,0
813153,405,366397,36,0
649652,605,194129,36,0
1124945,391,158212,84,0
556687,685,278590,12,0
434415,328,338179,60,0
1121654,858,164793,24,1
655528,836,368693,12,0
427948,456,245246,24,0
368148,302,165142,120,0
478352,532,209116,24,0
442483,800,321830,12,0
1069598,436,157971,24,0
825303,877,366364,60,0
789570,619,62289,120,0
356958,354,390357,84,0
675037,889,79301,36,1
936584,464,68073,36,0
667654,664,416936,12,0
321959,588,392676,12,0
351663,685,385938,60,0
330535,524,253502,84,0
1034965,542,113936,60,0
784299,823,147539,24,1
412547,478,462417,120,0
799046,396,67633,60,0
313986,803,308517,60,0
816349,353,169264,120,0
1153049,407,60749,24,0
680002,521,194467,84,0
336631,310,255342,84,0
466981,861,212728,60,1
618717,452,299686,84,0
717113,306,288389,60,0
831089,788,461253,12,0
854594,734,210400,24,1
1122827,385,404341,84,0
484779,833,475106,36,0
786261,493,118099,84,0
801108,563,244718,120,0
1173332,700,93541,12,0
520984,338,493547,60,0
930075,836,340998,120,0
1024839,773,416040,24,0
819332,462,71727,12,0
606955,594,405615,84,0
905605,789,359443,84,0
850233,663,181743,24,0
564712,339,109182,24,0
658745,604,191826,120,0
1177844,450,395506,120,0
1179858,341,87384,24,0
1138688,412,474226,120,0
706332,619,324231,120,0
476615,440,333367,24,0
676896,436,74596,84,0
361087,515,335855,84,0
886146,873,480866,120,0
592890,358,162020,24,0
1097348,365,406992,84,0
548710,324,252056,12,0
828178,307,79165,60,0
323247,581,344923,12,0
1020255,783,195643,60,1
424046,316,73312,24,0
1103328,610,206193,36,0
427016,446,477153,36,0
1018216,752,283103,120,1
1192048,893,339530,24,0
1199159,425,196649,12,0
497392,847,284555,12,1
964076,516,94936,24,0
418012,631,178046,84,0
960960,820,495346,12,0
706619,629,486324,84,0
1044699,498,117695,12,0
711357,528,456889,60,0
622710,526,367875,36,0
998361,825,315856,60,0
585977,536,133820,60,0
754351,751,223757,12,1
893128,314,141658,36,0
351991,718,400484,24,0
463273,528,118920,36,0
873665,427,336370,12,0
806964,723,175736,84,1
328295,791,434865,12,0
722515,477,126559,60,0
589106,570,145081,120,0
372991,412,78179,84,0
886580,567,271178,120,0
1140477,414,318865,12,0
444356,728,245713,60,1
1198613,517,472587,36,0
467280,523,377090,24,0
872843,314,77723,120,0
324538,810,466387,36,0
339081,383,303113,36,0
898135,451,163132,12,0
526156,416,215937,24,0
957917,528,269249,120,0
489089,420,415446,84,0
370467,704,81367,120,1
484423,627,459379,60,0
355609,836,383373,12,0
821430,749,98320,84,1
535796,304,473875,60,0
604119,820,139570,84,1
358871,680,60382,36,0
862332,745,390858,24,0
569544,413,410596,60,0
1124845,715,66029,12,1
927769,470,228148,120,0
525281,662,243510,36,0
837833,816,66014,60,1
503196,648,167235,12,0
365318,591,54358,12,0
739792,346,296860,120,0
676836,549,243718,120,0
934421,617,471947,24,0
1139070,669,457442,12,0
701896,584,181733,12,0
568246,700,67347,12,0
831831,662,59503,36,0
795972,870,106492,36,1
1124926,475,299599,84,0
1031899,421,197159,12,0
429473,831,53471,12,1
1015460,801,421043,84,0
478274,341,343199,60,0
304000,494,288340,84,0
305486,316,267322,120,0
1025451,770,411008,12,0
1109956,444,55105,120,0
694540,819,130102,120,1
352528,522,377841,12,0
945914,394,360512,36,0
894319,401,91568,60,0
500235,524,84084,36,0
618394,828,301051,120,0
618714,549,189401,36,0
1055195,513,73705,12,0
772525,467,225211,12,0
570846,301,355107,24,0
1122209,397,85262,60,0
749613,759,456709,24,0
1002965,587,396874,12,0
759451,326,491460,120,0
471829,879,375593,60,0
921820,615,216216,36,0
845735,507,374683,60,0
489407,818,139818,12,1
496582,381,405093,84,0
958271,460,365507,120,0
664167,386,262652,24,0
800186,645,485503,24,0
761079,730,166492,36,1
782690,368,307681,36,0
853880,595,218918,24,0
1165264,884,463497,36,0
1154882,316,342985,120,0
850222,484,165359,36,0
1103451,789,272084,84,1
309435,445,354224,36,0
1027952,321,311486,120,0
1019064,576,96819,24,0
456730,345,208056,120,0
1000903,660,112424,120,0
840652,319,257888,120,0
449143,656,114027,60,0
990907,358,71621,120,0
631236,556,282549,120,0
1021747,879,175426,24,1
915650,727,466441,84,0
627069,494,422592,12,0
747600,560,255768,84,0
1027975,893,254366,36,1
742296,721,81401,84,1
910490,374,215575,36,0
332711,307,59715,24,0
700109,555,84594,24,0
441564,567,413412,84,0
508124,758,321640,84,0
408940,550,111063,24,0
621879,580,86487,12,0
519963,360,210866,60,0
312666,493,358557,120,0
1120023,700,153892,60,0
1183811,665,273332,36,0
420151,528,399307,36,0
1164141,358,330825,60,0
428148,415,458595,36,0
1106991,402,339910,120,0
799522,836,354677,120,0
588790,883,146722,36,1
804999,525,89279,84,0
434633,325,231187,36,0
931172,550,190905,120,0
300404,674,183168,84,0
1130914,820,332017,12,0
634618,399,382697,24,0
304809,462,314983,60,0
1074684,377,269861,36,0
1011131,371,317254,36,0
1179611,536,253981,120,0
479208,456,232684,36,0
629365,673,78625,84,0
861353,445,157522,36,0
677812,754,286513,12,1
1107364,670,272724,120,0
863586,843,284627,84,1
351934,495,275942,60,0
1037378,350,265400,36,0
554079,429,90108,36,0
785450,460,493242,120,0
